bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
sw_katana_fleet_bounty,15,spaceMarshal,Thrawn,,aggressive,Katana Fleet,Katana,MALE,sw_empire,graphics/portraits/chiss/Thrawn2.png,"""I am Grand Admiral Thrawn. I have been away, but now I have returned. I rule the Empire now. Not some long-dead Emperor; certainly not you.""",FALSE,sw_rebel,1000000,1,"The Katana fleet was a task force of two hundred Dreadnaught-class heavy cruisers launched by the Galactic Republic during its final decades of existence, as part of an attempt to restore the Republic Navy to its long-gone glory. Five years after the Battle of Endor, Grand Admiral Thrawn of the Galactic Empire convinced smuggler Captain Hoffner into providing the location of the long-lost task force. Having learned of Thrawn's target, the New Republic entered the race for the lost fleet as well. However, the Empire managed to escape with 178 of the prized ships before the Republic arrived.",sw_dreadnought_heavy,"sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy, sw_dreadnought_heavy",300,1.1,1,,,FALSE,FALSE,206,20,1
sw_crimson_command_bounty,15,baseCommander,Maarisa,Zsinj,aggressive,Crimson Command,13X,MALE,sw_empire,graphics/portraits/empire/Zsinj.png,"""A soldier's primary concern is not the establishment of government. Rather, it is a warrior's duty to build up the strongest force possible. It is his duty to crush his foes.""",FALSE,sw_rebel,1500000,1,"Crimson Command was the command division of the Galactic Empire Quelii Oversector. It would become the de facto flotilla post-Endor of the Federated Teradoc Union and later the United Warlord Fleets, consisting of Imperial Victory-class Star Destroyers.",sw_cc_victory_ii_imperial,sw_cc_victory_ii_imperial,600,2.25,1,,sw_katana_fleet_bounty,FALSE,FALSE,206,20,1
sw_death_squadron_bounty,15,sithLord,Darth Vader,,aggressive,Death Squadron,Executor,MALE,sw_empire,graphics/portraits/empire/Darth_Vader.png,"""Be careful not to choke on your aspirations, Captain. You don't know the power of the dark side! This will be a day long remembered. It has seen the end of you. It will soon see the end of the Rebellion.""",FALSE,sw_rebel,2000000,1,"Death Squadron was the codename applied to Darth Vader's personal fleet of Star Destroyers following the Battle of Yavin, led by the Super Star Destroyer Executor. The fleet, designed to instill terror in dissidents of the Empire's New Order, was in fact tasked with locating and destroying the Rebel Alliance headquarters. By the Battle of Endor, Death Squadron had been reinforced to include the Executor, two battlecruisers, three Tector-class Star Destroyers, and thirty-three Imperial Star Destroyers.",sw_executor_imperial,"sw_allegiance_imperial, sw_allegiance_imperial, sw_tector_imperial, sw_tector_imperial, sw_imperial_ii_imperial, sw_imperial_i_imperial",630,2.5,1,,sw_crimson_command_bounty,FALSE,FALSE,206,20,1
sw_knight_hammer_bounty,15,spaceAdmiral,Natasi,Daala,aggressive,United Warlord Fleet,Knight Hammer,FEMALE,sw_empire,graphics/portraits/empire/Imperial_Officer1.png,"""If Solo is telling the truth, then my fleet could be the most powerful remnant of the Imperial Navy. We can't just wait here any longer. Now it's our turn to show them what we can do.""",FALSE,sw_rebel,2300000,1,"The United Warlord Fleets was the unified military alliance of thirteen successor polities of the Galactic Empire in the Deep Core around 12 ABY, and was created when Admiral Natasi Daala executed the assembled warlords at Tsoss Beacon and took command of their remaining forces. Utilizing the Executor-class Star Dreadnought Knight Hammer as her flagship, and using various capital ships, vehicles, and starfighters, Daala carried on guerrilla warfare against the New Republic.",sw_knight_hammer_imperial,"sw_allegiance_imperial, sw_allegiance_imperial, sw_imperial_ii_imperial, sw_imperial_ii_imperial, sw_imperial_ii_imperial, sw_imperial_i_imperial, sw_victory_ii_imperial, sw_victory_ii_imperial",630,2.5,1,,sw_crimson_command_bounty,FALSE,FALSE,206,20,1
sw_terror_bounty,15,spaceAdmiral,Sarn,,aggressive,Imdaar Alpha Defense Fleet,Terror,MALE,sw_empire,graphics/portraits/empire/Sarn.png,"""In twelve hours, a fleet will stand ready at Imdaar Alpha where they will be poised to lay waste to the Rebels.""",FALSE,sw_rebel,2300000,1,"Under the command of Admiral Sarn, the Executor-class Terror and Imdaar Alpha Defense Fleet was assigned to protect the development of a new cloaking device for use with the TIE Phantom starfighter and was itself fitted with one of the devices, allowing it to become invisible to both sensors and the naked eye.",sw_terror_imperial,"sw_allegiance_imperial, sw_allegiance_imperial, sw_imperial_ii_imperial, sw_imperial_ii_imperial, sw_imperial_ii_imperial, sw_imperial_i_imperial, sw_victory_ii_imperial, sw_victory_ii_imperial",630,2.5,1,,sw_crimson_command_bounty,FALSE,FALSE,206,20,1
sw_byss_defense_fleet_bounty,15,factionLeader,Sheev,Palpatine,aggressive,Byss Defense Fleet,Eclipse II,MALE,sw_empire,graphics/portraits/empire/Emperor_Palpatine.png,"""Strike me down! And your journey towards the dark side will be complete.""",FALSE,sw_rebel,2500000,1,"The Byss Defense Fleet, otherwise called Imperial Byss Defense Fleet, was a defense fleet attachment from the Imperial Navy to guard the planet Byss. The fleet included various types of starships, including TIE/LN starfighters and GAT-12 Skipray Blastboats, as well as capital ships such as several Imperial-class Star Destroyers, at least one Secutor-class Star Destroyer, at least one Procursator-class Star Destroyer, at least two Vengeance-class dreadnoughts and at least one Bellator-class dreadnought.",sw_eclipse_ii_imperial,"sw_vengeance_dreadnought_imperial, sw_vengeance_dreadnought_imperial, sw_secutor_imperial, sw_allegiance_imperial, sw_imperial_ii_imperial, sw_procursator_imperial",650,2.5,1,,sw_death_squadron_bounty,FALSE,FALSE,206,20,1
sw_death_star_i_bounty,15,administrator,Wilhuff,Tarkin,aggressive,Death Star I Fleet,Death Star I,MALE,sw_empire,graphics/portraits/empire/Moff_Tarkin.png,"""Rule through the fear of force rather than force itself.""",FALSE,sw_rebel,3000000,1,"The Death Star's fleet was a fully equipped Imperial Navy fleet that defended the Galactic Empire's planet-killing battle station, the DS-1 Death Star Mobile Battle Station. The fleet consisted of hundreds of vessels that ranged from dreadnoughts to assault gunboats, and included tens of thousands of TIE-series craft. The fleet was part of the garrison that was deployed as part of the military forces of the Death Star.",sw_death_star_i_imperial,"sw_allegiance_imperial, sw_allegiance_imperial, sw_tector_imperial, sw_tector_imperial, sw_imperial_ii_imperial, sw_imperial_i_imperial",650,2.5,1,,sw_death_squadron_bounty,FALSE,FALSE,206,20,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw_solo_fleet,15,baseCommander,Han,Solo,aggressive,Solo Fleet,Mon Remonda,MALE,sw_rebel,graphics/portraits/rebel/Han_Solo.png,"""I happen to like to shoot first, Captain. As opposed to shooting second.""",FALSE,sw_empire,1000000,1,"Solo Fleet was the informal name given to the task force of New Republic starships assigned to General Han Solo in his hunt for Warlord Zsinj in 7.5 ABY. Initially only eleven starships, the fleet was expanded to thirteen after the Battle of Levian Two demonstrated the increased strength of Zsinj's forces.",sw_mc80b_rebel,"sw_mc80_liberty_rebel, sw_mc80_liberty_rebel, sw_nebulon_b_rebel, sw_nebulon_b_rebel",300,1.1,1,,,FALSE,FALSE,206,20,1
sw_starhawk_fleet,15,baseCommander,Carlist,Rieekan,aggressive,New Republic Defense Force,Amity,MALE,sw_rebel,graphics/portraits/rebel/Rebel_General2.png,"""A death mark's not an easy thing to live with.""",FALSE,sw_empire,1500000,1,"Following the Galactic Senate's decision to intervene the Imperial Remanent on Jakku, the New Republic mobilized its military forces. Besides defeating the Imperial fleets, the New Republic's other objectives on Jakku included capturing a critical sector in the Galactic Civil War and taking out an Imperial weapons facility on the planet. Due to the Empire's martial defeats across the galaxy and the severe depletion of its military reserves, the New Republic forces outnumbered their Imperial counterparts. New Republic military assets included the flagship Admiral Ackbar's MC80A Home One Type Heavy Star Cruiser Home One, three Nadiri Starhawk-class Battleship Mark Is including Agate's ship Concord, and the Alderaanian escort frigate Sunspire. In addition, the New Republic deployed thousands of starfighters, U-wings, and ground forces including the elite SpecForces and New Republic army. Soon after, Ackbar would call on the entire rebel fleet to join the battle, including dozens of MC80 Star Cruisers, several CR90 corvettes, EF76 Nebulon-B escort frigates, and Inferno Squad for the battle. Additionally, the Carrack-class Cruiser Oculus was used to spy on the Imperial forces from a distance. Meanwhile, Imperial Commander Gallius Rax on Jakku issued a bounty to call for help agianst the New Republic Fleet.",sw_starhawk_rebel,"sw_starhawk_rebel, sw_starhawk_rebel, sw_mc80_home_one_rebel, sw_carrack_rebel",600,2.25,1,,sw_solo_fleet,FALSE,FALSE,206,20,1
