id,type,text1,text2,text3,notes
sw_assertor,SHIP,"The Assertor-class Star Dreadnought was 15 kilometers long and had a hull-shape similar to the Executor-class Star Dreadnought, being primarily shaped like an arrowhead.",,,
sw_bellator,SHIP,"The Bellator-class dreadnought was a warship in the Imperial Navy, as well as a divergent design in the Mandator-series of Star Dreadnought.",,,
sw_allegiance,SHIP,"The Allegiance-class battlecruiser was a large warship in the Imperial Navy. The Allegiance-class battlecruiser was similar in appearance to both the Victory, Procursator and Imperial-class Star Destroyers, but was larger than all of them, reaching a length of 2,200 meters.",,,
sw_imperial_ii,SHIP,"The Imperial II-class Star Destroyer, also known as an Impstar-Deuce, was a Star Destroyer model manufactured by Kuat Drive Yards for use by the Imperial Navy.",,,
sw_procursator,SHIP,"The Procursator-class Star Destroyer was an Imperial warship in the Star Destroyer design family. The Procursator-class was similar in appearance to the Imperial-class Star Destroyer. It was slightly shorter, at 1200 meters in length.",,,
sw_victory_i,SHIP,"The Victory I-class Star Destroyer was a warship designed for planetary defense, planetary assault, ground troop support, and ship-to-ship combat.",,,
sw_vindicator,SHIP,The Vindicator-class heavy cruiser was the standard 600-meter-long heavy cruiser design of the Imperial Navy.,,,
sw_immobilizer,SHIP,"The Immobilizer 418 cruiser was a 600-meter-long cruiser built on the standard Vindicator-class heavy cruiser hull. Equipped with gravity well projectors designed to pull ships from hyperspace and/or prevent them making the jump to lightspeed, the Interdictor became a valuable addition to the Imperial Navy.",,,
sw_dreadnought,SHIP,"The Dreadnaught-class heavy cruiser was a type of capital ship built for planetary occupation and space combat used by the Galactic Republic, Galactic Empire, New Republic, local governments, and various other organizations.",,,
sw_lancer,SHIP,The Lancer-class frigate was a capital ship used for anti-starfighter operations in the Imperial Navy.,,,
sw_secutor,SHIP,The Secutor-class Star Destroyer was a carrier in the Imperial Navy and possibly the Republic Navy.,,,
sw_gladiator,SHIP,"The Gladiator-class Star Destroyer was a class of Star Destroyer used by the Galactic Empire. It utilized a solar ionization reactor that was located on its ventral hull, and had a hangar at the bow with two prongs.",,,
sw_consolidator,SHIP,The Consolidator was an Imperial frigate during the Legacy era.,,,
sw_mc75,SHIP,"The MC75 Star Cruiser was a model of Star Cruiser in the service of the Alliance Fleet. The city-ship's former civic atrium was hollowed out and converted into a docking bay and starship service area, overseen by a hangar traffic control suite protected by overlapping shields and magnetic containment fields to keep oxygen and pressure regulated. The docking bay and service area was capable of accommodating ships up to corvette size.",,,
sw_ton_falk,SHIP,The Ton-Falk-class escort carrier was a transport ship designed to carry Imperial starfighters.,,,
sw_quasar,SHIP,"The Quasar Fire-class cruiser-carrier was a starship line built by the SoroSuub Corporation. It saw service in the Galactic Empire's Imperial Navy, both as a starfighter carrier and a mobile base of operations.",,,
sw_arquitens,SHIP,"The Arquitens-class light cruiser,  later the Imperial light cruiser, was a line of light cruisers designed by Kuat Drive Yards that saw extensive service with the Republic Navy during the Clone Wars.",,,
sw_vigil,SHIP,"The Vigil-class corvette was a warship in the Imperial Navy. Produced by Kuat Drive Yards for the Imperial Navy, the Vigil class was considered the smallest vessel in the iconic Star Destroyer line of ships.",,,
sw_raider,SHIP,The Raider-class corvette was a starship manufactured by Kuat Drive Yards in 6 BBY.,,,
